brnd_name,gnrc_name,tot_mftr,tot_spndng,tot_dsg_unts,tot_clms,tot_benes,avg_spnd_per_dsg_unt_wghtd,avg_spnd_per_clm,avg_spnd_per_bene,outlier_flag,year
1st tier unifine pentips,"pen needle, diabetic",1,167193.78,761658.0,6538.0,2341.0,0.219784789,25.57261854,71.41981205,0.0,2018
1st tier unifine pentips,"pen needle, diabetic",1,139201.68,642471.0,5392.0,1878.0,0.216787924,25.81633531,74.12230032,0.0,2019
1st tier unifine pentips,"pen needle, diabetic",1,118923.24,547006.0,4457.0,1595.0,0.217701046,26.68235136,74.56002508,0.0,2020
1st tier unifine pentips,"pen needle, diabetic",1,102280.76,459384.0,3708.0,1313.0,0.223001254,27.58380798,77.89852247,0.0,2021
1st tier unifine pentips,"pen needle, diabetic",1,70039.61,310304.0,2501.0,1147.0,0.225873987,28.00464214,61.06330427,0.0,2022
1st tier unifine pentips plus,"pen needle, diabetic",1,369402.85,1813908.0,14931.0,5674.0,0.203657836,24.74066372,65.10448537,0.0,2018
1st tier unifine pentips plus,"pen needle, diabetic",1,343031.42,1830596.0,14581.0,5319.0,0.187388804,23.52591866,64.49171273,0.0,2019
1st tier unifine pentips plus,"pen needle, diabetic",1,210217.15,1046616.0,8408.0,3905.0,0.200851195,25.00203972,53.8328169,0.0,2020
1st tier unifine pentips plus,"pen needle, diabetic",1,131927.33,566872.0,4564.0,1766.0,0.232811541,28.90607581,74.70403737,0.0,2021
1st tier unifine pentips plus,"pen needle, diabetic",1,114601.54,486206.0,3846.0,1474.0,0.235707834,29.7975923,77.74867029,0.0,2022
abacavir,abacavir sulfate,6,10653423.32,3034767.0,40388.0,7359.0,4.03215469,263.7769466,1447.672689,0.0,2018
abacavir,abacavir sulfate,6,10119967.63,3318767.0,42673.0,6085.0,3.483151077,237.1515392,1663.100679,0.0,2019
abacavir,abacavir sulfate,6,9198597.07,2960286.0,37119.0,5068.0,3.490612864,247.8137092,1815.034939,0.0,2020
abacavir,abacavir sulfate,6,7036063.99,2500817.0,30527.0,4254.0,3.187345204,230.4865853,1653.987774,0.0,2021
abacavir,abacavir sulfate,6,6945563.71,2035106.0,24317.0,3452.0,3.87123557,285.6258465,2012.040472,0.0,2022
abacavir-lamivudine,abacavir sulfate/lamivudine,4,15957795.55,1429260.0,45575.0,8681.0,11.16290896,350.1436215,1838.243929,1.0,2018
abacavir-lamivudine,abacavir sulfate/lamivudine,4,16480869.86,1448269.0,42663.0,6423.0,11.36625234,386.3035853,2565.91466,0.0,2019
abacavir-lamivudine,abacavir sulfate/lamivudine,4,11265372.88,996520.0,27766.0,4752.0,11.28132313,405.7254513,2370.659276,0.0,2020
abacavir-lamivudine,abacavir sulfate/lamivudine,4,9294117.32,1104102.0,29168.0,4032.0,8.42203794,318.6408845,2305.088621,1.0,2021
abacavir-lamivudine,abacavir sulfate/lamivudine,4,11966266.63,990318.0,25001.0,3427.0,12.03507537,478.6315199,3491.761491,0.0,2022
abacavir-lamivudine-zidovudine,abacavir/lamivudine/zidovudine,1,6955321.12,330735.0,5298.0,710.0,21.02989136,1312.820144,9796.22693,0.0,2018
abacavir-lamivudine-zidovudine,abacavir/lamivudine/zidovudine,1,4849598.99,225020.0,3648.0,493.0,21.55185757,1329.385688,9836.914787,0.0,2019
abacavir-lamivudine-zidovudine,abacavir/lamivudine/zidovudine,1,2085404.63,96333.0,1585.0,290.0,21.64787383,1315.7127,7191.050448,0.0,2020
abacavir-lamivudine-zidovudine,abacavir/lamivudine/zidovudine,1,146795.2,7002.0,118.0,32.0,20.96475293,1244.027119,4587.35,0.0,2021
abacavir-lamivudine-zidovudine,abacavir/lamivudine/zidovudine,1,68772.61,3150.0,59.0,15.0,21.8325746,1165.637458,4584.840667,0.0,2022
abelcet,amphotericin b lipid complex,1,766166.41,101857.38,620.0,205.0,7.521952852,1235.752274,3737.397122,0.0,2018
abelcet,amphotericin b lipid complex,1,618247.3,120570.0,777.0,226.0,5.127704238,795.6850708,2735.607522,0.0,2019
abelcet,amphotericin b lipid complex,1,637913.66,124320.0,826.0,238.0,5.131223134,772.2925666,2680.309496,0.0,2020
abelcet,amphotericin b lipid complex,1,504545.33,97200.0,697.0,199.0,5.190795576,723.8813917,2535.403668,0.0,2021
abelcet,amphotericin b lipid complex,1,297179.43,53540.0,350.0,113.0,5.550605715,849.0840857,2629.90646,0.0,2022
abilify,aripiprazole,1,31071646.36,950552.33,25660.0,4690.0,32.84330958,1210.898143,6625.084512,0.0,2018
abilify,aripiprazole,1,26854630.75,808281.5,20939.0,3670.0,33.40220819,1282.517348,7317.338079,0.0,2019
abilify,aripiprazole,1,24481910.61,716447.5,17689.0,2532.0,34.43652749,1384.018916,9669.001031,0.0,2020
abilify,aripiprazole,1,20484851.18,633899.0,15261.0,2174.0,32.65616444,1342.300713,9422.654637,0.0,2021
abilify,aripiprazole,1,13141218.3,575817.0,13586.0,1920.0,23.10964437,967.2617621,6844.384531,0.0,2022
abilify maintena,aripiprazole,1,345893454.1,165452.467,164759.0,22935.0,2090.804126,2099.390346,15081.46737,0.0,2018
abilify maintena,aripiprazole,1,422038582.3,189937.35,189140.0,25421.0,2222.069637,2231.355516,16601.96618,0.0,2019
abilify maintena,aripiprazole,1,460313112.0,204264.771,203218.0,25646.0,2253.594888,2265.119783,17948.72932,0.0,2020
abilify maintena,aripiprazole,1,499429110.9,210840.18,208784.0,26393.0,2368.508428,2392.085174,18922.78676,0.0,2021
abilify maintena,aripiprazole,1,563682902.8,220767.4,219843.0,27676.0,2553.342516,2564.024794,20367.20996,0.0,2022
abilify mycite,aripiprazole,1,40552.86,720.0,24.0,,56.32341667,1689.7025,,1.0,2019
abilify mycite,aripiprazole,1,92372.21,1620.0,47.0,15.0,56.90881206,1965.36617,6158.147333,1.0,2020
abilify mycite,aripiprazole,1,56308.8,990.0,31.0,,56.77817204,1816.412903,,1.0,2021
abilify mycite,aripiprazole,1,75603.15,1320.0,44.0,,57.27511364,1718.253409,,1.0,2022
abiraterone acetate,abiraterone acetate,18,26623436.37,435123.0,3624.0,3328.0,61.15420411,7346.422839,7999.83064,0.0,2018
abiraterone acetate,abiraterone acetate,18,512604238.1,11518439.0,98661.0,17787.0,44.43803055,5195.61162,28819.03852,0.0,2019
abiraterone acetate,abiraterone acetate,18,499949838.0,17267972.0,151737.0,23638.0,28.96185917,3294.844619,21150.25967,0.0,2020
abiraterone acetate,abiraterone acetate,18,601154529.0,21241242.0,199285.0,30513.0,33.68209727,3016.556835,19701.58716,0.0,2021
abiraterone acetate,abiraterone acetate,18,701850080.0,24176424.0,230081.0,35733.0,34.9769783,3050.447799,19641.51009,0.0,2022
abraxane,paclitaxel protein-bound,1,5675297.99,4441.0,828.0,236.0,1277.932445,6854.224626,24047.87284,0.0,2018
