Brnd_Name,Gnrc_Name,Tot_Mftr,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,167193.78,761658,6538,2341,0.219784789,25.57261854,71.41981205,0,139201.68,642471,5392,1878,0.216787924,25.81633531,74.12230032,0,118923.24,547006,4457,1595,0.217701046,26.68235136,74.56002508,0,102280.76,459384,3708,1313,0.223001254,27.58380798,77.89852247,0,70039.61,310304,2501,1147,0.225873987,28.00464214,61.06330427,0,0.012882138,0.006855499
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,369402.85,1813908,14931,5674,0.203657836,24.74066372,65.10448537,0,343031.42,1830596,14581,5319,0.187388804,23.52591866,64.49171273,0,210217.15,1046616,8408,3905,0.200851195,25.00203972,53.8328169,0,131927.33,566872,4564,1766,0.232811541,28.90607581,74.70403737,0,114601.54,486206,3846,1474,0.235707834,29.7975923,77.74867029,0,0.012440507,0.037213649
Abacavir,Abacavir Sulfate,6,10653423.32,3034767,40388,7359,4.03215469,263.7769466,1447.672689,0,10119967.63,3318767,42673,6085,3.483151077,237.1515392,1663.100679,0,9198597.07,2960286,37119,5068,3.490612864,247.8137092,1815.034939,0,7036063.99,2500817,30527,4254,3.187345204,230.4865853,1653.987774,0,6945563.71,2035106,24317,3452,3.87123557,285.6258465,2012.040472,0,0.21456426,-0.010130134
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,4,15957795.55,1429260,45575,8681,11.16290896,350.1436215,1838.243929,1,16480869.86,1448269,42663,6423,11.36625234,386.3035853,2565.91466,0,11265372.88,996520,27766,4752,11.28132313,405.7254513,2370.659276,0,9294117.32,1104102,29168,4032,8.42203794,318.6408845,2305.088621,1,11966266.63,990318,25001,3427,12.03507537,478.6315199,3491.761491,0,0.428998,0.018985157
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,6955321.12,330735,5298,710,21.02989136,1312.820144,9796.22693,0,4849598.99,225020,3648,493,21.55185757,1329.385688,9836.914787,0,2085404.63,96333,1585,290,21.64787383,1315.7127,7191.050448,0,146795.2,7002,118,32,20.96475293,1244.027119,4587.35,0,68772.61,3150,59,15,21.8325746,1165.637458,4584.840667,0,0.041394319,0.009408554
Abelcet,Amphotericin B Lipid Complex,1,766166.41,101857.38,620,205,7.521952852,1235.752274,3737.397122,0,618247.3,120570,777,226,5.127704238,795.6850708,2735.607522,0,637913.66,124320,826,238,5.131223134,772.2925666,2680.309496,0,504545.33,97200,697,199,5.190795576,723.8813917,2535.403668,0,297179.43,53540,350,113,5.550605715,849.0840857,2629.90646,0,0.069316954,-0.073164963
Abilify,Aripiprazole,1,31071646.36,950552.33,25660,4690,32.84330958,1210.898143,6625.084512,0,26854630.75,808281.5,20939,3670,33.40220819,1282.517348,7317.338079,0,24481910.61,716447.5,17689,2532,34.43652749,1384.018916,9669.001031,0,20484851.18,633899,15261,2174,32.65616444,1342.300713,9422.654637,0,13141218.3,575817,13586,1920,23.10964437,967.2617621,6844.384531,0,-0.292334395,-0.084124193
Abilify Maintena,Aripiprazole,1,345893454.1,165452.467,164759,22935,2090.804126,2099.390346,15081.46737,0,422038582.3,189937.35,189140,25421,2222.069637,2231.355516,16601.96618,0,460313112,204264.771,203218,25646,2253.594888,2265.119783,17948.72932,0,499429110.9,210840.18,208784,26393,2368.508428,2392.085174,18922.78676,0,563682902.8,220767.4,219843,27676,2553.342516,2564.024794,20367.20996,0,0.07803818,0.05123287
Abilify Mycite,Aripiprazole,1,,,,,,,,,40552.86,720,24,,56.32341667,1689.7025,,1,92372.21,1620,47,15,56.90881206,1965.36617,6158.147333,1,56308.8,990,31,,56.77817204,1816.412903,,1,75603.15,1320,44,,57.27511364,1718.253409,,1,0.008752335,0.005600906
Abiraterone Acetate,Abiraterone Acetate,18,26623436.37,435123,3624,3328,61.15420411,7346.422839,7999.83064,0,512604238.1,11518439,98661,17787,44.43803055,5195.61162,28819.03852,0,499949838,17267972,151737,23638,28.96185917,3294.844619,21150.25967,0,601154529,21241242,199285,30513,33.68209727,3016.556835,19701.58716,0,701850080,24176424,230081,35733,34.9769783,3050.447799,19641.51009,0,0.038444192,-0.130361031
