Appl_Type,Appl_No,Product_No,Exclusivity_Code,Exclusivity_Date
N,17031,1,RTO,13-Jul-26
N,18680,1,D-193,28-Jun-27
N,20263,9,NS,14-Apr-26
N,20825,1,M-232,28-Jan-25
N,20825,2,M-232,28-Jan-25
N,20825,3,M-232,28-Jan-25
N,20825,4,M-232,28-Jan-25
N,19569,1,ODE-267,28-Jun-26
N,20988,1,NPP,12-Aug-27
N,21986,1,ODE-164,9-Nov-24
N,21986,1,ODE-225,21-Dec-25
N,21986,2,ODE-164,9-Nov-24
N,21986,2,ODE-225,21-Dec-25
N,21986,3,ODE-164,9-Nov-24
N,21986,3,ODE-225,21-Dec-25
N,21986,4,ODE-164,9-Nov-24
N,21986,4,ODE-225,21-Dec-25
N,21986,5,ODE-164,9-Nov-24
N,21986,5,ODE-225,21-Dec-25
N,21986,6,ODE-164,9-Nov-24
N,21986,6,ODE-225,21-Dec-25
N,22023,1,D-186,2-May-25
N,22023,2,D-186,2-May-25
N,22068,1,ODE-171,22-Mar-25
N,22068,1,ODE-172,22-Mar-25
N,22068,1,ODE-380,23-Sep-28
N,22068,2,ODE-171,22-Mar-25
N,22068,2,ODE-172,22-Mar-25
N,22068,2,ODE-380,23-Sep-28
N,22068,3,ODE-171,22-Mar-25
N,22068,3,ODE-172,22-Mar-25
N,22068,3,ODE-380,23-Sep-28
N,21038,1,NPP,16-Dec-25
N,21038,2,NPP,16-Dec-25
N,21038,3,NPP,16-Dec-25
N,21038,4,NPP,16-Dec-25
N,21038,5,NPP,16-Dec-25
N,21196,1,ODE-231,26-Oct-25
N,21248,1,ODE-167,12-Jan-25
N,21248,2,ODE-167,12-Jan-25
N,21323,1,NPP,12-May-26
N,21323,2,NPP,12-May-26
N,21323,3,NPP,12-May-26
N,21365,1,NPP,12-May-26
N,21825,1,ODE-420,30-Apr-28
N,21825,1,ODE-417,30-Apr-28
N,21825,1,ODE-421,30-Apr-28
N,21825,2,ODE-417,30-Apr-28
N,21825,2,ODE-421,30-Apr-28
N,21825,2,ODE-420,30-Apr-28
N,21845,1,M-287,31-Jan-26
N,21845,1,ODE-469,31-Jan-30
N,21880,1,ODE-241,28-May-26
N,21880,1,ODE-245,28-May-26
N,21880,2,ODE-241,28-May-26
N,21880,2,ODE-245,28-May-26
N,21880,3,ODE-241,28-May-26
N,21880,3,ODE-245,28-May-26
N,21880,4,ODE-241,28-May-26
N,21880,4,ODE-245,28-May-26
N,21880,5,ODE-241,28-May-26
N,21880,5,ODE-245,28-May-26
N,21880,6,ODE-241,28-May-26
N,21880,6,ODE-245,28-May-26
N,22192,1,I-939,2-Apr-27
N,22192,2,I-939,2-Apr-27
N,22192,3,I-939,2-Apr-27
N,22192,4,I-939,2-Apr-27
N,22192,5,I-939,2-Apr-27
N,22192,6,I-939,2-Apr-27
N,22192,7,I-939,2-Apr-27
N,22200,1,NPP,22-Jul-24
N,22200,2,NPP,22-Jul-24
N,22253,1,D-188,28-Apr-26
N,22253,2,D-188,28-Apr-26
N,22253,3,D-188,28-Apr-26
N,22253,4,D-188,28-Apr-26
N,22254,1,D-188,28-Apr-26
N,22255,1,D-188,28-Apr-26
N,22271,1,M-300,27-Jul-26
N,22271,2,M-300,27-Jul-26
N,22271,3,M-300,27-Jul-26
N,22291,1,ODE-210,16-Nov-25
N,22291,2,ODE-210,16-Nov-25
N,22291,3,ODE-210,16-Nov-25
N,22291,4,ODE-210,16-Nov-25
N,22291,5,ODE-210,16-Nov-25
N,22304,1,NPP,3-Jul-26
N,22304,2,NPP,3-Jul-26
N,22304,3,NPP,3-Jul-26
N,22372,1,ODE-315,5-Aug-27
N,22406,1,I-867,23-Aug-24
N,22406,2,I-867,23-Aug-24
N,22406,3,I-867,23-Aug-24
N,22406,4,I-867,23-Aug-24
N,22433,1,M-283,9-May-25
N,22433,2,M-283,9-May-25
N,22473,1,M-287,31-Jan-26
N,22496,1,I-929,9-Nov-26
N,22496,2,I-929,9-Nov-26
N,22562,1,ODE-345,22-Jan-28
N,22580,1,M-308,13-Sep-27
N,22580,1,NPP,24-Jun-25
N,22580,2,M-308,13-Sep-27
N,22580,2,NPP,24-Jun-25
N,22580,3,M-308,13-Sep-27
N,22580,3,NPP,24-Jun-25
N,22580,4,M-308,13-Sep-27
N,22580,4,NPP,24-Jun-25
N,50794,1,I-889,20-May-25
N,50794,1,ODE-399,20-May-29
N,50708,1,ODE-360,16-Jul-28
N,50708,1,ODE-294,24-May-25
N,50708,2,ODE-360,16-Jul-28
N,50708,2,ODE-294,24-May-25
N,50708,3,ODE-360,16-Jul-28
N,50708,3,ODE-294,24-May-25
N,50709,1,ODE-360,16-Jul-28
N,50709,1,ODE-294,24-May-25
N,201280,1,M-295,20-Jun-26
N,201281,1,M-295,20-Jun-26
N,201281,2,M-295,20-Jun-26
N,201281,3,M-295,20-Jun-26
N,201532,1,M-280,13-Sep-25
N,201699,1,ODE-367,24-Jan-27
N,203565,1,I-915,31-May-26
N,203565,4,I-915,31-May-26
N,203565,2,I-915,31-May-26
N,203565,3,I-915,31-May-26
N,203094,1,ODE-260,22-Aug-26
N,205834,1,ODE*,28-Aug-26
N,205834,2,ODE*,28-Aug-26
N,204671,1,ODE*,28-Aug-26
N,204671,2,ODE*,28-Aug-26
N,202570,1,ODE-328,14-Jan-28
N,202570,1,ODE-407,14-Jul-29
N,202570,1,I-897,14-Jul-25
N,202570,2,ODE-328,14-Jan-28
N,202570,2,ODE-407,14-Jul-29
N,202570,2,I-897,14-Jul-25
N,202806,1,ODE-182,30-Apr-25
N,202806,1,ODE-183,4-May-25
N,202806,1,ODE-428,16-Mar-30
N,202806,1,I-908,16-Mar-26
N,202806,1,I-894,22-Jun-25
N,202806,2,ODE-182,30-Apr-25
N,202806,2,ODE-183,4-May-25
N,202806,2,ODE-428,16-Mar-30
N,202806,2,I-908,16-Mar-26
N,202806,2,I-894,22-Jun-25
N,202811,1,I-921,12-Jun-26
N,202811,3,I-921,12-Jun-26
N,203109,1,M-287,31-Jan-26
N,203188,1,ODE-199,15-Aug-25
N,203188,1,ODE-338,21-Dec-27
N,203341,1,ODE-163,19-Dec-24
N,203341,1,ODE-444,26-Sep-30
N,203341,1,I-923,26-Sep-26
N,203341,2,ODE-163,19-Dec-24
N,203341,2,ODE-444,26-Sep-30
N,203341,2,I-923,26-Sep-26
N,203341,3,ODE-163,19-Dec-24
N,203341,3,ODE-444,26-Sep-30
N,203341,3,I-923,26-Sep-26
N,203389,1,ODE-162,22-Dec-24
N,203389,2,ODE-162,22-Dec-24
N,203414,1,M-300,27-Jul-26
N,203414,2,M-300,27-Jul-26
N,203415,1,I-926,17-Nov-26
N,203441,1,ODE-240,16-May-26
N,203469,1,I-934,19-Mar-27
N,203469,1,ODE-472,19-Mar-31
N,203469,2,I-934,19-Mar-27
N,203469,2,ODE-472,19-Mar-31
N,203469,3,I-934,19-Mar-27
N,203469,3,ODE-472,19-Mar-31
N,203469,4,I-934,19-Mar-27
N,203469,4,ODE-472,19-Mar-31
N,204353,2,NPP,18-Dec-27
N,204353,3,NPP,18-Dec-27
N,204353,4,NPP,18-Dec-27
N,204353,1,NPP,18-Dec-27
N,203794,1,NPP,3-Jul-26
N,203985,1,ODE-169,10-Apr-25
N,203985,2,ODE-169,10-Apr-25
N,203985,3,ODE-169,10-Apr-25
N,204026,1,ODE-297,14-May-27
N,204026,1,ODE-296,14-May-27
N,204026,2,ODE-297,14-May-27
N,204026,2,ODE-296,14-May-27
N,204026,3,ODE-297,14-May-27
N,204026,3,ODE-296,14-May-27
N,204026,4,ODE-296,14-May-27
N,204026,4,ODE-297,14-May-27
N,204042,1,NPP,18-Dec-27
N,204042,2,NPP,18-Dec-27
N,204114,1,ODE-182,30-Apr-25
N,204114,1,ODE-183,4-May-25
N,204114,1,I-908,16-Mar-26
N,204114,1,ODE-428,16-Mar-30
N,204114,1,I-895,22-Jun-25
N,204114,2,ODE-182,30-Apr-25
N,204114,2,ODE-183,4-May-25
N,204114,2,I-908,16-Mar-26
N,204114,2,ODE-428,16-Mar-30
N,204114,2,I-895,22-Jun-25
N,204114,3,ODE-182,30-Apr-25
N,204114,3,ODE-183,4-May-25
N,204114,3,I-908,16-Mar-26
N,204114,3,ODE-428,16-Mar-30
N,204114,3,I-895,22-Jun-25
N,204275,1,NPP,13-May-26
N,204275,3,NS,13-May-26
N,204384,1,ODE-251,9-Aug-26
N,204384,1,ODE-307,27-May-27
N,204384,1,M-306,21-Jun-27
N,204384,2,ODE-307,27-May-27
N,204384,2,M-306,21-Jun-27
N,201292,2,ODE-230,12-Jan-25
N,201292,2,M-276,7-Apr-25
N,201292,1,ODE-230,12-Jan-25
